model,f1-score,dataset
gemma3,0.681159420289855,boxing2
gpt-oss,0.6791666666666667,boxing2
mistral,0.6762874929258631,boxing2
qwen3,0.6294736842105264,boxing2
rt,0.6239316239316239,boxing2
rf-s,0.65625,boxing2
rf-ss,0.5878787878787879,boxing2
et-s,0.7221052631578948,boxing2
et-ss,0.6294736842105264,boxing2
xgb-s,0.6762874929258631,boxing2
xgb-ss,0.7684210526315789,boxing2
baseline,0.5909090909090909,boxing2
gemma3,0.4989648033126294,boxing2
gpt-oss,0.5625327053898482,boxing2
mistral,0.6589147286821706,boxing2
qwen3,0.4989648033126294,boxing2
rt,0.60858189429618,boxing2
rf-s,0.5900621118012422,boxing2
rf-ss,0.5018867924528302,boxing2
et-s,0.7649572649572649,boxing2
et-ss,0.5661650233523612,boxing2
xgb-s,0.670940170940171,boxing2
xgb-ss,0.6757894736842105,boxing2
baseline,0.5204981837052414,boxing2
gemma3,0.7031655422937209,boxing2
gpt-oss,0.6356107660455487,boxing2
mistral,0.7031655422937209,boxing2
qwen3,0.5769230769230769,boxing2
rt,0.6818181818181818,boxing2
rf-s,0.792778649921507,boxing2
rf-ss,0.7043927648578812,boxing2
et-s,0.6589147286821706,boxing2
et-ss,0.7031655422937209,boxing2
xgb-s,0.7953488372093023,boxing2
xgb-ss,0.7488323819408407,boxing2
baseline,0.6818181818181818,boxing2
gemma3,0.6333333333333333,boxing2
gpt-oss,0.670940170940171,boxing2
mistral,0.7498708010335917,boxing2
qwen3,0.7488323819408407,boxing2
rt,0.7390835579514825,boxing2
rf-s,0.7333333333333334,boxing2
rf-ss,0.6333333333333333,boxing2
et-s,0.6968733439321675,boxing2
et-ss,0.7333333333333334,boxing2
xgb-s,0.7053571428571428,boxing2
xgb-ss,0.7435082140964494,boxing2
baseline,0.6757894736842105,boxing2
gemma3,0.6363636363636364,boxing2
gpt-oss,0.6644880174291938,boxing2
mistral,0.811965811965812,boxing2
qwen3,0.717948717948718,boxing2
rt,0.596765498652291,boxing2
rf-s,0.7053571428571428,boxing2
rf-ss,0.5831578947368421,boxing2
et-s,0.691644204851752,boxing2
et-ss,0.7260894170911149,boxing2
xgb-s,0.786522911051213,boxing2
xgb-ss,0.811965811965812,boxing2
baseline,0.670940170940171,boxing2
