model,f1-score,dataset
gpt-oss,0.4170641229464759,boxing2
gemma3,0.39789473684210525,boxing2
mistral,0.36231884057971014,boxing2
qwen3,0.4909090909090909,boxing2
autogluon,0.6762874929258631,boxing2
tabpfn,0.691644204851752,boxing2
gpt-oss,0.42916450441100157,boxing2
gemma3,0.386046511627907,boxing2
mistral,0.4170641229464759,boxing2
qwen3,0.4238095238095238,boxing2
autogluon,0.7684210526315789,boxing2
tabpfn,0.8303030303030303,boxing2
gpt-oss,0.4170641229464759,boxing2
gemma3,0.4041666666666667,boxing2
mistral,0.386046511627907,boxing2
qwen3,0.49425287356321834,boxing2
autogluon,0.7727272727272727,boxing2
tabpfn,0.8388278388278387,boxing2
gpt-oss,0.36160714285714285,boxing2
gemma3,0.4358974358974359,boxing2
mistral,0.3834976647638817,boxing2
qwen3,0.39950372208436724,boxing2
autogluon,0.7124183006535948,boxing2
tabpfn,0.7649572649572649,boxing2
gpt-oss,0.4358974358974359,boxing2
gemma3,0.4078674948240165,boxing2
mistral,0.3322867608581894,boxing2
qwen3,0.3697916666666667,boxing2
autogluon,0.7901430842607313,boxing2
tabpfn,0.8035714285714286,boxing2
