dataset,metric,metric_n,threshold,classifier,n_classes,total_samples,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,average
chromium,top_n,10,0,dbrnna_lstm300_dense512,1598,11864,0.1887110362257792,0.1760741364785172,,,,,,,,,0.1823925863521482
chromium,top_n,1,5,dbrnna_lstm300_dense512,688,10092,0.0871287128712871,0.0742574257425742,,,,,,,,,0.0806930693069306
chromium,top_n,10,5,dbrnna_lstm300_dense512,688,10092,0.294059405940594,0.2792079207920792,,,,,,,,,0.2866336633663366
chromium,top_n,1,10,dbrnna_lstm300_dense512,369,7977,0.0839598997493734,0.081453634085213,,,,,,,,,0.0827067669172932
chromium,top_n,10,10,dbrnna_lstm300_dense512,369,7977,0.3308270676691729,0.3345864661654135,,,,,,,,,0.3327067669172932
chromium,top_n,1,20,dbrnna_lstm300_dense512,157,5109,0.1174168297455968,0.1272015655577299,,,,,,,,,0.1223091976516634
chromium,top_n,10,20,dbrnna_lstm300_dense512,157,5109,0.4579256360078277,0.4774951076320939,,,,,,,,,0.4677103718199608
chromium,top_n,1,0,dbrnna_lstm300_dense300,1598,11864,0.0328559393428812,0.0513900589721988,,,,,,,,,0.04212299915754
chromium,top_n,10,0,dbrnna_lstm300_dense300,1598,11864,0.16849199663016,0.223251895534962,,,,,,,,,0.1958719460825611
chromium,top_n,1,5,dbrnna_lstm300_dense300,688,10092,0.0861386138613861,0.0702970297029703,,,,,,,,,0.0782178217821782
chromium,top_n,10,5,dbrnna_lstm300_dense300,688,10092,0.298019801980198,0.2623762376237624,,,,,,,,,0.2801980198019802
chromium,top_n,1,10,dbrnna_lstm300_dense300,369,7977,0.0889724310776942,0.0726817042606516,,,,,,,,,0.0808270676691729
chromium,top_n,10,10,dbrnna_lstm300_dense300,369,7977,0.3120300751879699,0.3333333333333333,,,,,,,,,0.3226817042606516
chromium,top_n,1,20,dbrnna_lstm300_dense300,157,5109,0.1252446183953033,0.1076320939334637,,,,,,,,,0.1164383561643835
chromium,top_n,10,20,dbrnna_lstm300_dense300,157,5109,0.46771037181996084,0.4735812133072407,,,,,,,,,0.47064579256360073
